nome,descricao,categoria_nome,horario_funcionamento,preco_medio,endereco_logradouro,endereco_numero,endereco_complemento,endereco_bairro,endereco_cidade,endereco_estado,endereco_cep,endereco_coordenadas,imagens
"Projeto Tamar","Centro de pesquisa e conservação dedicado à proteção das tartarugas marinhas. Oferece exposições educativas, tanques de observação e programas de conscientização ambiental.","Educação Ambiental","Terça a Domingo: 10:00 às 17:00","15.00","Avenida Antônio Justa","3808","","Praia de Camburi","Vitória","ES","29090-370","-20.2774,-40.2837","tamar1.jpg;tamar2.jpg"
"Canoa Havaiana","Experiência de remo em canoas havaianas tradicionais nas águas calmas da baía de Vitória. Passeios guiados com instruções para iniciantes e rotas panorâmicas.","Esportes Aquáticos","Segunda a Sábado: 06:00 às 18:00; Domingo: 06:00 às 12:00","80.00","Avenida Dante Micheline","S/N","Próximo à Praça dos Namorados","Jardim da Penha","Vitória","ES","29060-235","-20.2895,-40.2922","canoa1.jpg;canoa2.jpg"
"Yoga na Praia da Sereia","Aulas de yoga ao ar livre com vista para o mar, ideal para relaxamento e conexão com a natureza. Instrutores qualificados para todos os níveis.","Bem-estar","Segunda, Quarta e Sexta: 06:00 às 08:00; Sábado: 07:00 às 09:00","25.00","Rua Elvira Johnson","S/N","Calçadão da Praia da Sereia","Praia da Costa","Vila Velha","ES","29101-445","-20.3383,-40.2775","yoga1.jpg;yoga2.jpg"
"Andar de Bike no Calçadão de Camburi","Cicloviá à beira-mar com 6 km de extensão, perfeita para passeios de bicicleta com vista para o oceano. Pontos de aluguel de bicicletas disponíveis.","Esportes","24 horas","10.00","Avenida Dante Micheline","S/N","Calçadão de Camburi","Jardim da Penha","Vitória","ES","29060-235","-20.2890,-40.2850","bike1.jpg;bike2.jpg"
"Restaurante Papaguth","Tradicional restaurante especializado em carnes nobres, cortes especiais e entrada farta. Ambiente aconchegante e serviço de qualidade.","Gastronomia","Terça a Domingo: 11:30 às 15:00 e 18:30 às 23:00","120.00","Avenida Rio Branco","1635","","Praia do Canto","Vitória","ES","29055-643","-20.3097,-40.2926","papaguth1.jpg;papaguth2.jpg"
"Morro do Moreno","Trilha ecológica com vista panorâmica para a baía de Vitória, o Convento da Penha e praias de Vila Velha. Local ideal para caminhadas e fotografia.","Ecoturismo","Todos os dias: 06:00 às 18:00","0.00","Avenida Antônio Gil Veloso","S/N","Acesso pela Praia da Costa","Praia da Costa","Vila Velha","ES","29101-010","-20.3270,-40.2782","moreno1.jpg;moreno2.jpg"
"Convento da Penha","Um dos santuários religiosos mais antigos do Brasil, construído no topo de um penhasco com vista deslumbrante para toda a região metropolitana.","Pontos Turísticos","Segunda a Domingo: 08:00 às 17:00","0.00","Rua Vasco Coutinho","S/N","","Prainha","Vila Velha","ES","29100-231","-20.3285,-40.2875","convento1.jpg;convento2.jpg"
"Restaurante Elgitano","Restaurante contemporâneo com menu variado de pratos mediterrâneos e brasileiros. Carta de vinhos premiada e sobremesas artesanais.","Gastronomia","Segunda a Sábado: 19:00 às 23:30","95.00","Rua João da Cruz","350","","Praia do Canto","Vitória","ES","29055-620","-20.3067,-40.2931","elgitano1.jpg;elgitano2.jpg"
"Centro Histórico de Vitória","Conjunto arquitetônico que preserva casarões coloniais, igrejas seculares, escadarias históricas e praças tradicionais do período colonial brasileiro.","Pontos Turísticos","24 horas (monumentos têm horários específicos)","0.00","Rua Sete de Setembro","S/N","","Centro","Vitória","ES","29010-520","-20.3190,-40.3037","centro1.jpg;centro2.jpg"
"Restaurante A Oca","Restaurante rústico especializado em peixes e frutos do mar frescos da região, com vista privilegiada para o mar e decoração inspirada na cultura indígena.","Gastronomia","Terça a Domingo: 11:00 às 15:00 e 18:00 às 23:00","90.00","Avenida Saturnino de Brito","1080","","Praia do Canto","Vitória","ES","29055-180","-20.3051,-40.2886","oca1.jpg;oca2.jpg"
